==========
Args:Namespace(arch='resnet50', dataset='market1501_duke', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='1', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=400, num_instances=4, optim='adam', print_freq=10, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=150, train_batch=32, use_cpu=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 1
Initializing dataset market1501_duke
=> market1501_duke loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |  1453 |    29458
  ------------------------------
Initializing model: resnet50
Model size: 26.75160M
==> Start training
Epoch: [2][90/181]	Time 0.513 (0.520)	Data 0.021 (0.027)	Loss 7.9608 (8.0266)	CLoss 7.2805 (7.3534)	GLoss 0.3261 (0.3366)	LLoss 0.3542 (0.3366)	
Epoch: [2][100/181]	Time 0.512 (0.519)	Data 0.021 (0.026)	Loss 8.0568 (8.0254)	CLoss 7.4079 (7.3587)	GLoss 0.2976 (0.3317)	LLoss 0.3513 (0.3350)	
Epoch: [2][110/181]	Time 0.513 (0.519)	Data 0.021 (0.026)	Loss 8.0194 (8.0292)	CLoss 7.3465 (7.3637)	GLoss 0.3163 (0.3290)	LLoss 0.3566 (0.3365)	
Epoch: [2][120/181]	Time 0.511 (0.518)	Data 0.021 (0.026)	Loss 7.9063 (8.0194)	CLoss 7.3668 (7.3596)	GLoss 0.3174 (0.3277)	LLoss 0.2222 (0.3321)	
Epoch: [2][130/181]	Time 0.509 (0.517)	Data 0.021 (0.025)	Loss 8.1609 (8.0182)	CLoss 7.4546 (7.3640)	GLoss 0.2662 (0.3229)	LLoss 0.4401 (0.3313)	
Epoch: [2][140/181]	Time 0.508 (0.517)	Data 0.021 (0.025)	Loss 7.9646 (8.0144)	CLoss 7.4481 (7.3685)	GLoss 0.2931 (0.3202)	LLoss 0.2234 (0.3258)	
Epoch: [2][150/181]	Time 0.510 (0.517)	Data 0.021 (0.025)	Loss 9.2709 (8.0263)	CLoss 8.4269 (7.3793)	GLoss 0.4926 (0.3189)	LLoss 0.3514 (0.3282)	
Epoch: [2][160/181]	Time 0.511 (0.516)	Data 0.021 (0.024)	Loss 7.8289 (8.0222)	CLoss 7.4176 (7.3804)	GLoss 0.2296 (0.3170)	LLoss 0.1817 (0.3248)	
Epoch: [2][170/181]	Time 0.511 (0.516)	Data 0.021 (0.024)	Loss 8.1954 (8.0201)	CLoss 7.6109 (7.3841)	GLoss 0.2965 (0.3138)	LLoss 0.2880 (0.3223)	
Epoch: [2][180/181]	Time 0.508 (0.516)	Data 0.021 (0.024)	Loss 8.2795 (8.0345)	CLoss 7.4872 (7.3907)	GLoss 0.3820 (0.3152)	LLoss 0.4103 (0.3286)	
Epoch: [3][10/181]	Time 0.510 (0.556)	Data 0.021 (0.065)	Loss 7.9734 (7.9923)	CLoss 7.3566 (7.3568)	GLoss 0.3506 (0.3131)	LLoss 0.2663 (0.3224)	
Epoch: [3][20/181]	Time 0.510 (0.533)	Data 0.021 (0.043)	Loss 7.9114 (7.9548)	CLoss 7.2799 (7.3428)	GLoss 0.3010 (0.2989)	LLoss 0.3304 (0.3131)	
Epoch: [3][30/181]	Time 0.510 (0.526)	Data 0.021 (0.036)	Loss 7.8444 (7.9146)	CLoss 7.2373 (7.3405)	GLoss 0.2425 (0.2756)	LLoss 0.3646 (0.2985)	
Epoch: [3][40/181]	Time 0.512 (0.522)	Data 0.021 (0.032)	Loss 8.2194 (7.9031)	CLoss 7.3462 (7.3309)	GLoss 0.4568 (0.2739)	LLoss 0.4164 (0.2984)	
Epoch: [3][50/181]	Time 0.512 (0.520)	Data 0.021 (0.030)	Loss 7.7651 (7.9110)	CLoss 7.2654 (7.3360)	GLoss 0.2554 (0.2709)	LLoss 0.2443 (0.3041)	
Epoch: [3][60/181]	Time 0.511 (0.518)	Data 0.021 (0.028)	Loss 7.9489 (7.9083)	CLoss 7.3417 (7.3295)	GLoss 0.3374 (0.2704)	LLoss 0.2698 (0.3084)	
Epoch: [3][70/181]	Time 0.511 (0.517)	Data 0.021 (0.027)	Loss 7.9565 (7.9018)	CLoss 7.3362 (7.3271)	GLoss 0.2765 (0.2679)	LLoss 0.3438 (0.3068)	
Epoch: [3][80/181]	Time 0.510 (0.516)	Data 0.021 (0.026)	Loss 7.9884 (7.8991)	CLoss 7.3542 (7.3287)	GLoss 0.2957 (0.2659)	LLoss 0.3385 (0.3044)	
Epoch: [3][90/181]	Time 0.507 (0.516)	Data 0.021 (0.026)	Loss 8.0310 (7.9070)	CLoss 7.3627 (7.3368)	GLoss 0.2961 (0.2659)	LLoss 0.3722 (0.3044)	
Epoch: [3][100/181]	Time 0.516 (0.515)	Data 0.021 (0.025)	Loss 7.8672 (7.9076)	CLoss 7.3276 (7.3453)	GLoss 0.2497 (0.2624)	LLoss 0.2899 (0.2999)	
Epoch: [3][110/181]	Time 0.510 (0.515)	Data 0.021 (0.025)	Loss 7.7886 (7.9111)	CLoss 7.3285 (7.3453)	GLoss 0.1922 (0.2619)	LLoss 0.2680 (0.3039)	
Epoch: [3][120/181]	Time 0.515 (0.515)	Data 0.021 (0.025)	Loss 7.8075 (7.9122)	CLoss 7.2561 (7.3468)	GLoss 0.2800 (0.2621)	LLoss 0.2715 (0.3033)	
Epoch: [3][130/181]	Time 0.511 (0.514)	Data 0.021 (0.024)	Loss 7.7795 (7.9044)	CLoss 7.3600 (7.3461)	GLoss 0.1902 (0.2588)	LLoss 0.2293 (0.2996)	
Epoch: [3][140/181]	Time 0.510 (0.514)	Data 0.021 (0.024)	Loss 7.9148 (7.9138)	CLoss 7.4359 (7.3514)	GLoss 0.2634 (0.2603)	LLoss 0.2154 (0.3021)	
Epoch: [3][150/181]	Time 0.509 (0.514)	Data 0.021 (0.024)	Loss 7.7830 (7.9092)	CLoss 7.4894 (7.3530)	GLoss 0.1416 (0.2575)	LLoss 0.1520 (0.2987)	
Epoch: [3][160/181]	Time 0.510 (0.514)	Data 0.021 (0.024)	Loss 7.7430 (7.9112)	CLoss 7.3799 (7.3527)	GLoss 0.1807 (0.2584)	LLoss 0.1824 (0.3002)	
Epoch: [3][170/181]	Time 0.511 (0.514)	Data 0.021 (0.024)	Loss 8.0109 (7.9132)	CLoss 7.3506 (7.3544)	GLoss 0.3298 (0.2579)	LLoss 0.3305 (0.3009)	
Epoch: [3][180/181]	Time 0.508 (0.513)	Data 0.021 (0.023)	Loss 8.0030 (7.9098)	CLoss 7.3078 (7.3561)	GLoss 0.3382 (0.2559)	LLoss 0.3571 (0.2979)	
Epoch: [4][10/181]	Time 0.511 (0.552)	Data 0.021 (0.061)	Loss 8.1904 (7.8319)	CLoss 7.3691 (7.2750)	GLoss 0.3096 (0.2592)	LLoss 0.5118 (0.2977)	
Epoch: [4][20/181]	Time 0.512 (0.531)	Data 0.021 (0.041)	Loss 8.0864 (7.7838)	CLoss 7.2469 (7.2805)	GLoss 0.3870 (0.2272)	LLoss 0.4525 (0.2760)	
Epoch: [4][30/181]	Time 0.512 (0.525)	Data 0.021 (0.034)	Loss 7.9103 (7.7906)	CLoss 7.4411 (7.2882)	GLoss 0.2470 (0.2260)	LLoss 0.2222 (0.2765)	
Epoch: [4][40/181]	Time 0.513 (0.522)	Data 0.021 (0.031)	Loss 7.8268 (7.7818)	CLoss 7.2683 (7.2928)	GLoss 0.2974 (0.2232)	LLoss 0.2611 (0.2658)	
Epoch: [4][50/181]	Time 0.510 (0.520)	Data 0.021 (0.029)	Loss 7.5922 (7.7632)	CLoss 7.2176 (7.2868)	GLoss 0.1462 (0.2160)	LLoss 0.2284 (0.2604)	
Epoch: [4][60/181]	Time 0.510 (0.518)	Data 0.021 (0.028)	Loss 8.0215 (7.7755)	CLoss 7.3178 (7.2843)	GLoss 0.2799 (0.2212)	LLoss 0.4237 (0.2700)	
Epoch: [4][70/181]	Time 0.512 (0.517)	Data 0.021 (0.027)	Loss 7.9580 (7.7566)	CLoss 7.3133 (7.2830)	GLoss 0.2850 (0.2142)	LLoss 0.3597 (0.2594)	
Epoch: [4][80/181]	Time 0.510 (0.516)	Data 0.021 (0.026)	Loss 7.8845 (7.7439)	CLoss 7.2447 (7.2831)	GLoss 0.3700 (0.2115)	LLoss 0.2698 (0.2493)	
Epoch: [4][90/181]	Time 0.511 (0.516)	Data 0.021 (0.025)	Loss 7.9196 (7.7583)	CLoss 7.3262 (7.2896)	GLoss 0.2644 (0.2138)	LLoss 0.3291 (0.2549)	
Epoch: [4][100/181]	Time 0.510 (0.515)	Data 0.021 (0.025)	Loss 7.5657 (7.7671)	CLoss 7.1627 (7.2948)	GLoss 0.1939 (0.2137)	LLoss 0.2092 (0.2586)	
Epoch: [4][110/181]	Time 0.510 (0.515)	Data 0.021 (0.025)	Loss 7.9253 (7.7669)	CLoss 7.4423 (7.3004)	GLoss 0.2320 (0.2118)	LLoss 0.2510 (0.2547)	
Epoch: [4][120/181]	Time 0.511 (0.515)	Data 0.021 (0.024)	Loss 7.7503 (7.7691)	CLoss 7.3445 (7.3072)	GLoss 0.1789 (0.2093)	LLoss 0.2269 (0.2526)	
Epoch: [4][130/181]	Time 0.511 (0.514)	Data 0.021 (0.024)	Loss 7.7346 (7.7721)	CLoss 7.3712 (7.3101)	GLoss 0.1777 (0.2100)	LLoss 0.1857 (0.2519)	
Epoch: [4][140/181]	Time 0.511 (0.514)	Data 0.021 (0.024)	Loss 7.7670 (7.7769)	CLoss 7.2572 (7.3144)	GLoss 0.2392 (0.2098)	LLoss 0.2707 (0.2526)	
Epoch: [4][150/181]	Time 0.511 (0.514)	Data 0.021 (0.024)	Loss 7.6721 (7.7778)	CLoss 7.3196 (7.3175)	GLoss 0.1437 (0.2081)	LLoss 0.2087 (0.2521)	
Epoch: [4][160/181]	Time 0.513 (0.514)	Data 0.021 (0.023)	Loss 7.6210 (7.7811)	CLoss 7.3039 (7.3212)	GLoss 0.1505 (0.2089)	LLoss 0.1667 (0.2510)	
